name,slug, migrant(s)/1,000 population,date_of_information,ranking,region
"Virgin Islands","virgin-islands","-7.3","2024",218,"Central America and the Caribbean"
"El Salvador","el-salvador","-7.7","2024",219,"Central America and the Caribbean"
"Eritrea","eritrea","-8.7","2024",220,"Africa"
"Puerto Rico","puerto-rico","-9.6","2024",221,"Central America and the Caribbean"
"Nauru","nauru","-9.8","2024",222,"Australia and Oceania"
"Jordan","jordan","-10.9","2024",223,"Middle East"
"Guam","guam","-10.9","2024",224,"Australia and Oceania"
"Maldives","maldives","-12.8","2024",225,"South Asia"
"Northern Mariana Islands","northern-mariana-islands","-13.4","2024",226,"Australia and Oceania"
"Tonga","tonga","-18.1","2024",227,"Australia and Oceania"
"Micronesia, Federated States of","micronesia-federated-states-of","-21","2024",228,"Australia and Oceania"
"American Samoa","american-samoa","-24.8","2024",229,"Australia and Oceania"
"Cook Islands","cook-islands","-25.1","2024",230,"Australia and Oceania"
